user_id,name,phone,gender,email,persona,pref_media
LB0001,bryan,08926397923,M,bryan@gmail.com,fnb,123
LB0002,Joko,089620373371,M,joko@gmail.com,fnb,123
LB0003,Joku,089620373379,F,joku@gmail.com,electronic,321
LB0004,Joki,089620003371,M,joki@gmail.com,travel,231
LB0005,Joka,08962038871,F,joka@gmail.com,fnb,123
LB0006,Joke,089677373371,M,joke@gmail.com,fnb,123
LB0007,adul,089920373371,M,adul@gmail.com,fnb,132
LB0008,abdul,0896223373371,M,abdul12@gmail.com,fnb,123
LB0009,ani,0878223373371,F,ani@gmail.com,fashion,123
LB0010,dinda,089620373389,F,dinda@gmail.com,fashion,123
LB0011,daud,089620370071,M,daud@gmail.com,electronic,231
LB0012,dani,089630373371,F,dani@gmail.com,lifestyle,213
LB0013,deborah,089630374471,F,debo32@gmail.com,lifestyle,321
LB0014,debi,089620373311,F,debi@gmail.com,fashion,231
LB0015,dela,089620373312,F,dela@gmail.com,fashion,231
LB0016,dion,089620373313,M,dion@gmail.com,electronic,132
LB0017,dika,089620373314,M,dika@gmail.com,electronic,132
LB0018,christ,089620373315,M,christ@gmail.com,fnb,123
LB0019,christy,089620373317,F,cty@gmail.com,lifestyle,231
LB0020,cano,089620373322,M,cano@gmail.com,travel,321
LB0021,doni,089621173322,M,doni@gmail.com,travel,321
LB0022,darto,081121173322,M,darto@gmail.com,travel,321
LB0023,dimas,089620372271,M,dmas@gmail.com,none,312
LB0024,deka,089220373371,F,deka@gmail.com,fnb,123
LB0025,defri,089620373362,M,defri@gmail.com,fnb,132
LB0026,petra,089621373371,M,petra@gmail.com,electronic,231
LB0027,peter,089621379971,M,peter@gmail.com,electronic,231
LB0029,david,089320113371,M,david@gmail.com,fashion,312
LB0028,bendi,089620333371,M,bendi@gmail.com,fashion,123
LB0030,ari,0888620373371,M,ari@gmail.com,fnb,123
LB0031,jani,089620323171,F,jani@gmail.com,travel,321
LB0032,jano,089698323171,M,jano@gmail.com,travel,321
